word,definition,example,tags,dateAdded
Coal,"A black, solid fossil fuel used as a fuel source for heating and power generation.",The heating plant burned coal to produce hot water for the town.,"[""energy"",""materials""]",2025-03-16T03:38:44.413Z
Boiler,A device in a heating plant that burns fuel to generate hot water or steam for heating.,The boiler was the heart of the building's heating system.,"[""heating"",""equipment""]",2025-03-16T03:38:44.235Z
Radiator,"A heating device, typically mounted on the wall, that transfers heat from hot water or steam to the air in a room.",The radiator made a gentle ticking sound as it heated up the room.,"[""home"",""heating""]",2025-03-16T03:38:41.232Z
Heating Plant,"A facility that generates heat, usually in the form of hot water or steam, for distribution to buildings.",The heating plant provided warmth to the entire neighborhood through underground pipes.,"[""infrastructure"",""heating""]",2025-03-16T03:38:35.880Z
Underfloor Heating,A system where hot water or electric coils are installed beneath the floor to heat a room.,The underfloor heating kept the tiles warm underfoot.,"[""home"",""heating""]",2025-03-16T03:38:35.632Z
Blanket,"A large piece of soft fabric used to cover oneself for warmth, especially while sleeping.",She pulled the blanket up to her chin to stay warm during the cold night.,"[""household"",""bedding""]",2025-03-16T03:38:33.383Z
Pajamas,"Soft, comfortable clothing worn for sleeping or lounging.",She changed into her favorite pajamas before bed.,"[""clothing"",""household""]",2025-03-16T03:38:31.084Z
Duvet,"A soft quilt filled with down, feathers, or a synthetic alternative, used as a blanket.",The thick duvet kept him warm all night.,"[""household"",""bedding""]",2025-03-16T03:38:30.481Z
Plush toy,"A soft toy stuffed with materials like cotton, often resembling animals or characters.",She had a collection of plush toys on her bed.,"[""objects"",""household""]",2025-03-16T03:37:40.612Z
Mars transfer window,The optimal time to launch a mission to Mars when Earth and Mars are properly aligned in their orbits.,SpaceX is preparing for the next Mars transfer window.,"[""astronomy"",""space"",""science""]",2025-03-16T03:37:40.578Z
Scarecrow,"A figure made to resemble a human, placed in fields to scare away birds from crops.","The scarecrow stood in the field, guarding the corn.","[""agriculture"",""objects""]",2025-03-16T03:37:39.505Z
Scheduling,The act of planning and arranging times for events or activities.,Talking to tutors felt stressful because of the scheduling and pressure to converse.,"[""organization"",""time_management""]",2025-03-16T03:36:57.193Z
E-commerce,The buying and selling of goods or services over the internet.,I work for an international e-commerce company.,"[""business"",""technology""]",2025-03-16T03:36:54.265Z
Mastery,A high level of skill or knowledge in a particular subject.,The first approach focuses on mastery of a small set of words before moving on.,"[""learning"",""skills""]",2025-03-16T03:36:54.194Z
Perspective,A particular way of thinking about something.,My perspective on learning changed after I saw progress from consistent effort.,"[""thinking"",""concepts""]",2025-03-16T03:36:53.776Z
